given_address,lat,lon,formatted,name,housenumber,street,district,suburb,postcode,city,county,state,state_code,confidence_city_level,confidence_street_level,country,country_code,confidence,attribution,attribution_license,attribution_url
46 Malvia Nagar Bhopal M. P.,10.766679,79.141657,"46, New Cauvery Nagar, Thanjavur -, Tamil Nadu, India",,46,New Cauvery Nagar,,,,Thanjavur,Thanjavur,Tamil Nadu,TN,,,India,in,0.16666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"302, 2nd Cross, 1st Main Road, Nr. BDA Comptes, H.S.R Layout, Bengaluru - 560072",12.9613912,77.519985,"1st Main Road, Nagarabhavi Ward, Bengaluru - 560072, Karnataka, India",1st Main Road,,1st Main Road,West Zone,Nagarabhavi Ward,560072,Bengaluru,Bangalore North,Karnataka,KA,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"204, B-Blk, MS Flats, BKS, NEW Delhi",28.417463,77.046287,"22, Block B, Gurugram -, Haryana, India",,22,Block B,,,,Gurugram,Gurugram,Haryana,HR,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"204, B-Blk, MS Flats, BKS, N.Delhi",28.417463,77.046287,"22, Block B, Gurugram -, Haryana, India",,22,Block B,,,,Gurugram,Gurugram,Haryana,HR,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"204, B-Bik, MS Flats, BKS, New Delhi",28.52327,77.207505,"Bikanervala, Saket, Delhi, South West, India",Bikanervala,,,,Saket,,Delhi,South West,Delhi,DL,,,India,in,0.28125,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"305, V.P. House New Delhi",28.6300686,77.07527487447382,"Talwar's House, B-30, Shivaji Marg, Budella, Hastsal Village - 110018, Delhi, India",Talwar's House,B-30,Shivaji Marg,Vikaspuri,Budella,110018,Hastsal Village,Patel Nagar Tehsil,Delhi,DL,1,0.08333333333333333,India,in,0.041666666666666664,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"305, V.P. House, New Delhi",28.6300686,77.07527487447382,"Talwar's House, B-30, Shivaji Marg, Budella, Hastsal Village - 110018, Delhi, India",Talwar's House,B-30,Shivaji Marg,Vikaspuri,Budella,110018,Hastsal Village,Patel Nagar Tehsil,Delhi,DL,1,0.08333333333333333,India,in,0.041666666666666664,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"305, V.P. House New Delhi",11.044977,75.925842,"VP house, kammukutty adikari road, - 676306, Kerala, India",VP house,,kammukutty adikari road,,,676306,,Malappuram,Kerala,KL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"305, V.P House New Delhi ",28.6614044,77.08900612625321,"305, Block No.9, Paschim Vihar, New Delhi - 110087, Delhi, India",,305,Block No.9,Paschim Vihar,Paschim Vihar,110087,New Delhi,Punjabi Bagh Tehsil,Delhi,DL,1,,India,in,0.9,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"302, MS Flats, BKS Marg, N.Delhi",28.623609,77.202657,"M.S. FLATS (Alloted to member of parliament), Dr. Bishamber das marg, NDMC Flats, Delhi -, Delhi, India",,M.S. FLATS (Alloted to member of parliament),Dr. Bishamber das marg,,NDMC Flats,,Delhi,South West,Delhi,DL,0.95,0.9025,India,in,0.6942307692307691,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"302, MS Flats, BKS Marg, New Delhi",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0.10044642857142859,,,https://www.whosonfirst.org/docs/licenses/
"302, MS Flats, BKS Marg, New Delhi",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0.10044642857142859,,,https://www.whosonfirst.org/docs/licenses/
"General Sectetary CPI,Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi-2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.2668235294117647,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Sectetary CPI,Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi-2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.2668235294117647,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan, 15 Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Sectetary CPI,Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi-2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.2668235294117647,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"15 Indraji Gupta Marg New Delhi  ",28.613789,77.213072,"New Delhi, India",New Delhi,,,,,,New Delhi,New Delhi,Delhi,DL,1,,India,in,0.16666666666666666,,,https://www.whosonfirst.org/docs/licenses/
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi -2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"15 Indraji Gupta Marg New Delhi  ",28.613789,77.213072,"New Delhi, India",New Delhi,,,,,,New Delhi,New Delhi,Delhi,DL,1,,India,in,0.16666666666666666,,,https://www.whosonfirst.org/docs/licenses/
"General Secretary CPI, Ajoy Bhavan, 15 Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"15, Indrajit Gupta Marg New Delhi ",28.557163,77.163665,"Delhi, South West, India",Delhi,,,,,,Delhi,South West,Delhi,DL,0.5625,,India,in,0,,,https://www.whosonfirst.org/docs/licenses/
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan, 15 Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan, 15 Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi -2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi -2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan 15, Indrajit Gupta Marg New Delhi -2",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavan, 15 Indrajit Gupta Marg",28.54854,77.23723,"C-12, Hans Raj Gupta Marg, Greater Kailash 1, Delhi -, Delhi, India",,C-12,Hans Raj Gupta Marg,,Greater Kailash 1,,Delhi,South West,Delhi,DL,,,India,in,0.31129411764705883,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary, CPI,Ajoy Bhavan 15, Indrajit Gupta Marg, New Delhi ",28.63576,77.22445,"New Delhi, South West, India",New Delhi,,,,,,New Delhi,South West,Delhi,DL,1,,India,in,0,,CC BY 4.0,https://www.geonames.org/datasources/
"General Secretary CPI, Ajoy Bhavna,15, Indrajit Gupta",26.946624,75.777618,"Pandia Eye Dental and General Hospital, Ward 15, Jaipur - 302001, Rajasthan, India",Pandia Eye Dental and General Hospital,,,Zone 9,Ward 15,302001,Jaipur,Jaipur,Rajasthan,RJ,0.95,,India,in,0.2375,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"General Secretary CPI, Ajoy Bhavna,15, Indrajit Gupta",26.946624,75.777618,"Pandia Eye Dental and General Hospital, Ward 15, Jaipur - 302001, Rajasthan, India",Pandia Eye Dental and General Hospital,,,Zone 9,Ward 15,302001,Jaipur,Jaipur,Rajasthan,RJ,0.95,,India,in,0.2375,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Ajoy Bhavan 15 Com. Indrejit Gupta Marg New Delhi-2,,,,,,,,,,,,,,,,,,,,,
"Ajoy Bhavan, 15. Com. Indrajit Gupta Marg, New Delhi -2",28.63576,77.22445,"New Delhi, South West, India",New Delhi,,,,,,New Delhi,South West,Delhi,DL,1,,India,in,0,,CC BY 4.0,https://www.geonames.org/datasources/
" 15 Kotla Marg New Delhi-2",28.630578,77.277667,"Laxmi Nagar Metro Station, Vikas Marg, Delhi -, Delhi, India",,Laxmi Nagar Metro Station,Vikas Marg,,,,Delhi,South West,Delhi,DL,0.75,0.7124999999999999,India,in,0.45599999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
15 Kotla Marg New Delhi-2,28.630578,77.277667,"Laxmi Nagar Metro Station, Vikas Marg, Delhi -, Delhi, India",,Laxmi Nagar Metro Station,Vikas Marg,,,,Delhi,South West,Delhi,DL,0.75,0.7124999999999999,India,in,0.45599999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
" 15 Kotla Marg New Delhi-2",28.630578,77.277667,"Laxmi Nagar Metro Station, Vikas Marg, Delhi -, Delhi, India",,Laxmi Nagar Metro Station,Vikas Marg,,,,Delhi,South West,Delhi,DL,0.75,0.7124999999999999,India,in,0.45599999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ajoy Bhavan, 15. Com. Indrajit Gupta Marg, New Delhi -2",28.63576,77.22445,"New Delhi, South West, India",New Delhi,,,,,,New Delhi,South West,Delhi,DL,1,,India,in,0,,CC BY 4.0,https://www.geonames.org/datasources/
" 15 Kotla Marg New Delhi-2",28.630578,77.277667,"Laxmi Nagar Metro Station, Vikas Marg, Delhi -, Delhi, India",,Laxmi Nagar Metro Station,Vikas Marg,,,,Delhi,South West,Delhi,DL,0.75,0.7124999999999999,India,in,0.45599999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
" 15 Kotla Marg New Delhi-2",28.630578,77.277667,"Laxmi Nagar Metro Station, Vikas Marg, Delhi -, Delhi, India",,Laxmi Nagar Metro Station,Vikas Marg,,,,Delhi,South West,Delhi,DL,0.75,0.7124999999999999,India,in,0.45599999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
" 15 Kotla Marg New Delhi-2",28.630578,77.277667,"Laxmi Nagar Metro Station, Vikas Marg, Delhi -, Delhi, India",,Laxmi Nagar Metro Station,Vikas Marg,,,,Delhi,South West,Delhi,DL,0.75,0.7124999999999999,India,in,0.45599999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Ajoy Bhavan, 15. Com. Indrajit Gupta Marg, New Delhi -2",28.63576,77.22445,"New Delhi, South West, India",New Delhi,,,,,,New Delhi,South West,Delhi,DL,1,,India,in,0,,CC BY 4.0,https://www.geonames.org/datasources/
"Communist Party Of India Ajoy Bhavan 15, Com Indrajit Gupta Marg New Delhi 110003",28.586311,77.237818,"Core 7, SCOPE Complex, Pant Nagar, Delhi - 110003, Delhi, India",,Core 7,SCOPE Complex,,Pant Nagar,110003,Delhi,South West,Delhi,DL,1,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Communist Party Of India Ajoy Bhavan 15, Com Indrajit Gupta Marg New Delhi 110002",28.613789,77.213072,"New Delhi, India",New Delhi,,,,,,New Delhi,New Delhi,Delhi,DL,1,,India,in,0.06666666666666667,,,https://www.whosonfirst.org/docs/licenses/
"Ajoy Bhavan 15, Com. Inderjit Gupta Marg, New Delhi",28.63576,77.22445,"New Delhi, South West, India",New Delhi,,,,,,New Delhi,South West,Delhi,DL,1,,India,in,0,,CC BY 4.0,https://www.geonames.org/datasources/
"Ajoy Bhavan 15, Com. Inderjit Gupta Marg New Delhi",28.63576,77.22445,"New Delhi, South West, India",New Delhi,,,,,,New Delhi,South West,Delhi,DL,1,,India,in,0,,CC BY 4.0,https://www.geonames.org/datasources/
"B/19, Aashirvad Residency Nr. Cinegate Road Surat",21.196102,72.815766,"Surat, India",Surat,,,,,,Surat,Surat,Gujarat,GJ,0.16666666666666666,,India,in,0.017730496453900714,,,https://www.whosonfirst.org/docs/licenses/
"Ajoy Bhavan, 15, Com. Indrajit, Gupta Marg, New Delhi-110 002",28.617151,77.208058,"Sansad Bhavan, Parliament of India, Sansad Marg, Central Secretariat, Delhi - 110001, Delhi, India",Sansad Bhavan,Parliament of India,Sansad Marg,,Central Secretariat,110001,Delhi,South West,Delhi,DL,0.5625,0.5343749999999999,India,in,0.4257075471698113,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""Ajoy Bhavan, 15, Com. Indrajit, Gupta ",22.51378,88.34363,"Ramakrishma Sarada Mission Matri Bhavan/Matri Bhavan Hospital, Ward 88, Kolkata - 700026, West Bengal, India",Ramakrishma Sarada Mission Matri Bhavan/Matri Bhavan Hospital,,,Borough No. IX,Ward 88,700026,Kolkata,Kolkata,West Bengal,WB,0.125,,India,in,0.35624999999999996,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Marg, New Delhi-110 002""",28.559429,77.2004215,"Townhouse 002 OYO Rooms, Chaudhary Harsukh Marg, New Delhi - 1100016, Delhi, India",Townhouse 002 OYO Rooms,,Chaudhary Harsukh Marg,Vasant Vihar Tehsil,,1100016,New Delhi,Hauz Khas Tehsil,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"No.90, Chokkanahalli Jakkur Post Yelahanka Hobli Bangalore-64",,,,,,,,,,,,,,,,,,,,,
"28, South Avenue New Delhi-11",28.6111039,77.1992286,"South Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",South Avenue,,South Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
Bhopal M. P.,23.2584857,77.401989,"Bhopal - 462001, Madhya Pradesh, India",Bhopal,,,,,462001,Bhopal,Bhopal,Madhya Pradesh,MP,0.675,,India,in,0.675,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
128-130 South Avenue New Delhi,28.6111021,77.1993153,"South Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",South Avenue,,South Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"C-1/6, Tilak Lane New Delhi",28.6173657,77.2369578,"Tilak Lane, New Delhi - 110503, Delhi, India",Tilak Lane,,Tilak Lane,Chanakya Puri Tehsil,,110503,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"C-1/16, Tilak Lane, New Delhi",28.6173657,77.2369578,"Tilak Lane, New Delhi - 110503, Delhi, India",Tilak Lane,,Tilak Lane,Chanakya Puri Tehsil,,110503,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"128-130, South Avenue, New Delhi",28.6111021,77.1993153,"South Avenue, Rakab Ganj, New Delhi - 110004, Delhi, India",South Avenue,,South Avenue,Chanakya Puri Tehsil,Rakab Ganj,110004,New Delhi,,Delhi,DL,1,1,India,in,0.5,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
128-130 South Aveneu New Delhi,28.613789,77.213072,"New Delhi, India",New Delhi,,,,,,New Delhi,New Delhi,Delhi,DL,1,,India,in,0.16666666666666666,,,https://www.whosonfirst.org/docs/licenses/
"Rejith Villa, Behind Civil Station, Palakkad, 678001",10.7691045,76.6511904,"Palakkad - 678001, Kerala, India",Palakkad,,,,,678001,Palakkad,Palakkad,Kerala,KL,1,,India,in,0,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
