given_address,lat,lon,formatted,name,district,housenumber,street,county_code,postcode,suburb,city,county,state,confidence_street_level,state_code,country,country_code,confidence,confidence_city_level,attribution,attribution_license,attribution_url
"CPI	Goa State, Council, CPI	Velho's Building, 2nd Floor, Opp.Municipal Gardens,Panaji, Goa - 403 001	Goa	Goa	50000	2013",43.997899,-92.479507,"Gardens, Rochester, MN, United States of America",,Rochester,,Gardens,,,,Rochester,Olmsted County,Minnesota,,MN,United States,us,0.0054869684499314125,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Goal Motors	B-55, Ph-VI, Indl. Area, Mohali			31000	2011",28.6705687,77.4196289,"Chatta Mohalla, Ghaziabad - 201001, UP, India",Chatta Mohalla,,,,,201001,,Ghaziabad,Ghaziabad,Uttar Pradesh,,UP,India,in,0.075,0.3,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Godavari Alloys	C/o 126/2, Rakholi Village, Nr. Daman Ganga Old River Bridge, Silvassa (DNH)			100000	2014",48.497444,-113.982919,"215 Old River Bridge Road, West Glacier, MT 59936, United States of America",,,215,Old River Bridge Road,,59936,,West Glacier,Flathead County,Montana,,MT,United States,us,0,,© OpenAddresses contributors,BSD-3-Clause License,
"INC	Godrej consumer Products Ltd	Pirojshanagar, Eastern Express Highway Vikhorli (E) Mumbai	Mumbai		200000	2014",19.214404,72.984991,"B, Eastern Express Highway, Thane - 400601, MH, India",,,B,Eastern Express Highway,,400601,,Thane,Thane,Maharashtra,,MH,India,in,0.09729820722161435,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Godrej Properties & Investments Ltd	The Godrej Group, Pirojsha Nagar. Vikhroii. Mumbai - 79	Mumbai		750000	2004",0.311855,32.5761,"Sayid &Sons Investments, Ben Kiwanuka Street, Kampala, Uganda",Sayid &Sons Investments,,,Ben Kiwanuka Street,,,,Kampala,Central Kampala,Kampala,,,Uganda,ug,0.009002271125381791,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Goel Cargo Pvt. Ltd.	Haryana Bhawan, Panna Nakka, Satna	Haryana	Haryana	100000	2010",47.940919,-97.176497,"Private Cargo Terminal, 2133 Air Cargo Dr, Grand Forks, ND 58203, United States of America",Private Cargo Terminal,Grand Forks,2133,Air Cargo Dr,,58203,,Grand Forks,Grand Forks County,North Dakota,,ND,United States,us,0.043172690763052204,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	Golden jubilee charitable trust	5/2 Fakir De Lane Kolkata 700072	Kolkata	West Bengal	500000	2004,22.578381,88.370573,"Fakir Chand Mitra Ln, Ward 38, Kolkata -, WB, India",,Borough No. IV,,Fakir Chand Mitra Ln,,,Ward 38,Kolkata,Kolkata,West Bengal,0.25,WB,India,in,0.125,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Golden Salt Works	At Jambusar Dist Bharuch	Bharuch	Gujarat	35000	2012,,,,,,,,,,,,,,,,,,,,,,
"INC	Goldmine Buildcon Pvt Ltd	D-8, Gokulpur New Delhi	New Delhi		1000000	2014",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Goldstone Exports Ltd.	Rangareddy Dist.,AP			100000	2007",,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Goldstone Infra	Rangareddy Dist.,AP			100000	2007",,,,,,,,,,,,,,,,,,,,,,
BJP	Golf Ceramic Ltd	Mehsana 	Mehsana		51000	2012,,,,,,,,,,,,,,,,,,,,,,
BJP	Goodluck Motors Pvt Ltd	National Highway Mehsana	Mehsana		50000	2012,46.973437,6.887964,"2012 Lac de Neuchâtel, Switzerland",2012,,,,,2012,,Lac de Neuchâtel,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
"BJP	Gopal Bhargav	B 1, Swamidayanand Nagar, Bhopal	Bhopal	Madhya Pradesh	100000	2012",23.173614,77.439524,"rohit nagar road, Bhopal -, MP, India",,,,rohit nagar road,,,,Bhopal,Bhopal,Madhya Pradesh,0.16666666666666666,MP,India,in,0.16666666666666666,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gopal Forge	Rajkot	Rajkot		25000	2012,46.973437,6.887964,"2012 Lac de Neuchâtel, Switzerland",2012,,,,,2012,,Lac de Neuchâtel,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
BJP	Gopal Krishna Mungadh	16 Saket Nagar Ujjain M. P.	Madhya Pradesh	Madhya Pradesh	100000	2011,22.723148,75.89502,"24, Patrakar Saket Nagar, Indore -, MP, India",,,24,Patrakar Saket Nagar,,,,Indore,Indore,Madhya Pradesh,,MP,India,in,0.39899999999999997,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gopal Krishna Salt Works	At Ankleshwar Dist Bharuch	Bharuch	Gujarat	35000	2012,,,,,,,,,,,,,,,,,,,,,,
INC	Gopal Malvya	Salawtia Teh Bilolia Bhilwara Rajasthan	Rajasthan	Rajasthan	21000	2013,46.967023,6.86276,"2013 Neuchatel, Switzerland",2013,,,,,2013,,,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
"INC	Gopal Meena MLA	275, Dayanand Nagar Phase 1st, Jhalana Dungari Jaipur	Jaipur	Rajasthan	55000	2013",28.655353,77.440987,"Dayanand Nagar, Ghaziabad -, UP, India",,,,Dayanand Nagar,,,,Ghaziabad,Ghaziabad,Uttar Pradesh,,UP,India,in,0.023913274524391542,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
INC	Gopal Prasad Shastri	Shastri Sadan Sec-4.R.K. Puram New Delhi-22	New Delhi		21000	2003,40.722605,-74.002825,"Loadsmart Inc, New York, NY 10013, United States of America",Loadsmart Inc,Manhattan,,,,10013,SoHo,New York,New York County,New York,,NY,United States,us,0.95,0.16666666666666666,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gopal Sinfh Shekawat	12-c, Ferozshah Road, New Delhi	New Delhi		54000	2010",41.4869082,-74.0398344,"2010 Snake Hill Road, Town of New Windsor, NY 12553, United States of America",,,2010,Snake Hill Road,,12553,,Town of New Windsor,Orange County,New York,0.15833333333333333,NY,United States,us,0.07125,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Gopal Singh Rawat	Purani Kachheri Road, Dehradun,	Dehradun	Uttarakhand	100000	2011",25.933626,83.570168,"Purani Tehsil Road, -, UP, India",,,,Purani Tehsil Road,,,,,Mau,Uttar Pradesh,,UP,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gopal Singh Shehwat	12-C, Ferozshah Road, New Delhi	New Delhi		54000	2013",-36.9309038,174.8949515,"Unit 12, 135 Cryers Road, Burswood, Howick 2013, New Zealand",Unit 12,East Tāmaki,"Unit 12, 135",Cryers Road,,2013,Burswood,Howick,,Auckland,,AUK,New Zealand,nz,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gopal Singh Shekhawat	12-C, Ferozshah Road New Delhi	New Delhi		54000	2012",41.4868571,-74.0398636,"2012 Snake Hill Road, Town of New Windsor, NY 12553, United States of America",,,2012,Snake Hill Road,,12553,,Town of New Windsor,Orange County,New York,0.15833333333333333,NY,United States,us,0.07125,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"INC	Gopal Singh Shekhwat	12-C, Ferozshah Road New Delhi	New Delhi		24000	2013",-36.9309038,174.8949515,"Unit 12, 135 Cryers Road, Burswood, Howick 2013, New Zealand",Unit 12,East Tāmaki,"Unit 12, 135",Cryers Road,,2013,Burswood,Howick,,Auckland,,AUK,New Zealand,nz,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gopi Jasraj Catrers	Mehsana	Mehsana		21000	2012,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gopi Synthetics Pvt Ltd	Survey No. 302, Ishanpur Gopi Compound Narol Vatva Road Narol Ahmedabad-382405	Ahmedabad	Gujarat	125000	2012",,,,,,,,,,,,,,,,,,,,,,
BJP	Gopikrishna Neema.	Jayanti App. 75/1 Lodhi Pura Ind. MP	Madhya Pradesh	Madhya Pradesh	100000	2011,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gora Chatterjee	C-666, New Friends Colony New Delhi-110025	New Delhi		100000	2013",39.03171,-90.26122,"New Delhi, IL, United States of America",,Mississippi Township,,,,,,New Delhi,Jersey County,Illinois,,IL,United States,us,0.013790100159674856,0.95,,,https://www.whosonfirst.org/docs/licenses/
BJP	Goradhanbhai Waghjibhai Patel	Ahmedabad	Ahmedabad	Gujarat	100000	2010,,,,,,,,,,,,,,,,,,,,,,
BJP	Gour Dutta	Basirhat West Bengal	West Bengal	West Bengal	25000	2012,42.958014,-84.687958,"West Taft Road, Bengal, MI, United States of America",,Bengal Township,,West Taft Road,,,,Bengal,Clinton County,Michigan,,MI,United States,us,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI(M)	Goutam Educational Society	Himayat Nagar,Hyderabad	Hyderabad	Telangana	100000	2006",17.400859,78.486787,"Himayat Nagar Main Road, Himayathnagar, Hyderabad -, TG, India",,Central Zone,,Himayat Nagar Main Road,,,Himayathnagar,Hyderabad,Hyderabad,Telangana,,TG,India,in,0,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Government of Gujarat	Gandhinagar	Gandhinagar	Gujurat	25000	2009,,,,,,,,,,,,,,,,,,,,,,
BJP	Govind Malu	Indore M. P.	Indore		100000	2011,,,,,,,,,,,,,,,,,,,,,,
BJP	Govind Prasad Mishra	Kostha Badakhro Sidhi M.P.			100000	2011,,,,,,,,,,,,,,,,,,,,,,
"INC	Govind Raju N.	M/s. Lakshamamma & Sons, No-7/11, Narayanappa, Gardan H.D. Devegowada Road R.T. Nagar, Bangalore	Bangalore	Karnataka	25000	2010",,,,,,,,,,,,,,,,,,,,,,
"BJP	Govind Ram Sharma. MLA	Vill Khalyan, Po: Shalaghat, The . Arld, Solan			100000	2011",,,,,,,,,,,,,,,,,,,,,,
"BJP	Govind Singh Bisht .	Chharapal, Suyal, Po ; Maanpur West,			100000	2011",,,,,,,,,,,,,,,,,,,,,,
INC	Govind Singh Dotasara MLA	Deepshikha Nawalgarh Road Sikar			58000	2013,46.967023,6.86276,"2013 Neuchatel, Switzerland",2013,,,,,2013,,,,Neuchatel,,,Switzerland,ch,0,,,,https://www.whosonfirst.org/docs/licenses/
"BJP	Govind Singh Thakur, MLA	Vill :- Kanyal, Post : Chhiyal, The : Manali, Distt : 			100000	2010",,,,,,,,,,,,,,,,,,,,,,
"INC	Govinda A. Ahuja	27-Golden Beach, Ruila Park Juhu,Mumbai	Mumbai		49000	2008",28.142336,-80.58602,"Golden Beach Boulevard, Indian Harbour Beach, FL, United States of America",,,,Golden Beach Boulevard,,,,Indian Harbour Beach,Brevard County,Florida,0.31666666666666665,FL,United States,us,0.0019736842105263167,0.95,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Govinda Karjola	K.H.B. Colony, Mudhola. Bagalkot, Kanataka			200000	2011",,,,,,,,,,,,,,,,,,,,,,
"BJP	Govindi Koranga	Koranga Bhawan, Cana. Rd., Pithoragarh			100000	2011",36.011131,-80.579931,"2295 Cana Road, Davie County, NC, United States of America",,,2295,Cana Road,,,,,Davie County,North Carolina,,NC,United States,us,0.33333333333333337,,© OpenAddresses contributors,BSD-3-Clause License,
"INC	GOWRAMMA	#17, 2nd Main Road, 3rd Cross KVS Extention, Namjambha Agrabhra, Bangalore-18	Bangalore	Karnataka	25000	2010",13.033607,77.52733,"720, 3rd cross, HMT Ward, Bangalore - 560058, KA, India",,Rajarajeswari Nagar,720,3rd cross,,560058,HMT Ward,Bangalore,Bangalore,Karnataka,,KA,India,in,0.10999295167984961,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Goyal & Co.Pvt Ltd.	Prabhalad nagar Ahmdabad 	Ahmedabad	Gujarat	1100000	2011,23.02579,72.58727,"Ahmedabad, Ahmadabad, India",,,,,,,,Ahmedabad,Ahmadabad,Gujarat,,GJ,India,in,0.25,1,,CC BY 4.0,https://www.geonames.org/datasources/
"BJP	Grace Housing	Bandra, Mumbai - 50.	Mumbai		25000	2003",,,,,,,,,,,,,,,,,,,,,,
"BJP	Grace Housing	Bandra, Mumbai - 50.	Mumbai		25000	2003",,,,,,,,,,,,,,,,,,,,,,
BJP	Grand Polycoats Co Pvt Ltd	At Padra Dist Vadodara	Vadodara		20000	2012,,,,,,,,,,,,,,,,,,,,,,
"CPI(M)	Granuals India Ltd.	Jeedimetla,Hyderabad	Hyderabad	Telangana	50000	2004",48.461308,16.298586,"2004 Niederhollabrunn, Austria",2004,,,,,2004,,Niederhollabrunn,Korneuburg,Lower Austria,,,Austria,at,0,,,,https://www.whosonfirst.org/docs/licenses/
"CPI(M)	Granules India Ltd.	Rangareddy Dist.,AP			200000	2007",,,,,,,,,,,,,,,,,,,,,,
"BJP	Graphic adds pvt ltd	R-300, Greater kailash part-II New Delhi -48	New Delhi		200000	2004",,,,,,,,,,,,,,,,,,,,,,
"BJP	Grasim	Birala Gram, Nagada M.P.			4000000	2003",22.936981,81.605379,"Government hospital gram khohka rajendragram, 484881, MP, India",Government hospital gram khohka rajendragram,,,,,484881,,,Anuppur,Madhya Pradesh,,MP,India,in,0.010308159722222215,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gravity Builders	Nadiad Dist Kheda			51000	2012,22.718024,72.693595,"Kheda Bypass, -, GJ, India",,,,Kheda Bypass,,,,,Kheda,Gujarat,,GJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Greatvalue Projects India Ltd	6th Floor Block No.02 Plot No, 2B, Expressway-Noida			1100000	2013",44.649479,-72.677289,"2 Plot Road, Johnson, VT, United States of America",,Johnson,2,Plot Road,,,,Johnson,Lamoille County,Vermont,,VT,United States,us,0.045458984375,,,,
BJP	Green Homes Estates	Hyderabad	Hyderabad	Telangana	25000	2003,47.747454,-117.420007,"Country Homes, WA, United States of America",,,,,,,,Country Homes,Spokane County,Washington,,WA,United States,us,0.00579833984375,0.95,,,https://www.whosonfirst.org/docs/licenses/
"BJP	G-TEX Prints	D/3020, 2nd Floor, Surat Textiles Market Ring Road, Surat	Surat		100000	2010",21.198306,72.84302,"Ring Road, Surat -, GJ, India",,,,Ring Road,,,,Surat,Surat,Gujarat,1,GJ,India,in,0.5,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	GTV Engineering Ltd.	216-218, New Industrial Area, Mandidip-462046, MP	Madhya Pradesh	Madhya Pradesh	100000	2013",,,,,,,,,,,,,,,,,,,,,,
BJP	Gujarat Agrochem Ltd	At Ankleshwar Dist Bharuch	Bharuch	Gujarat	50000	2012,,,,,,,,,,,,,,,,,,,,,,
BJP	Gujarat Ambuja Export	At. Prantij Dist Sabarkantha	Sabarkantha		300000	2012,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gujarat Ambuja Exports Ltd.	""Ambuja Tower, Opp. Memnagar Fire Station, P.O. Navjivan, Navrangpura, Ahmedabad AD-",23.114943,72.581545,"Navjivan Hospital, Ward 4, Ahmedabad - 382424, GJ, India",Navjivan Hospital,,,,,382424,Ward 4,Ahmedabad,Ahmadabad,Gujarat,,GJ,India,in,0.07330246913580248,0.63,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"380014""	Ahmedabad	Gujarat	1000000	2012",43.488184,-106.7589,"0100000013643326 0100000013643326, Natrona County, WY, United States of America",,,0100000013643326,0100000013643326,,,,,Natrona County,Wyoming,,WY,United States,us,0,,© OpenAddresses contributors,BSD-3-Clause License,
BJP	Gujarat Apollo Ltd.	Apollo House Navrang pura Ahamadabad 	Ahmedabad	Gujarat	5000000	2007,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gujarat Borosil Limited	AT & POST GOVALI TAL - ZAGADIYA, DISTT-BHARUCH-393001	Bharuch	Gujarat	50000	2009",37.788302,-122.408058,"Powell Street & Post Street, Union Square, San Francisco, CA, United States of America",Powell Street & Post Street,,,,,,Union Square,San Francisco,San Francisco County,California,,CA,United States,us,0.00008454966180135275,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gujarat Colourlam Pvt. Ltd.	Surat 	Surat		51000	2013,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gujarat Consturction	Savaliya Jayesh N. Kirshan Nagar, Shari No.2, Lal School NI Bajumam Jamnagar	Jamnagar		150000	2012",,,,,,,,,,,,,,,,,,,,,,
"BJP	Gujarat Enviro Production pvt Ltd	252/2, G.I.D.C. Pandesara Surat	Surat		60000	2012",,,,,,,,,,,,,,,,,,,,,,
BJP	Gujarat Multi Gas Base Chemicals Pvt Ltd	Mehsana 	Mehsana		500000	2012,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gujarat NRE Coke Ltd.	Basant Tower 1, Clive Row. Hastings, Kolkata - 2 	Kolkata	West Bengal	51000	2004",22.557219,88.358337,"West Bengal Urdu Academy, Ward 62, Kolkata -, WB, India",,Borough No. VI,,West Bengal Urdu Academy,,,Ward 62,Kolkata,Kolkata,West Bengal,0.95,WB,India,in,0.95,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gujarat Pickers Industries	4th Floor Atlanta Tower Gulbai Tecra Ahmedabad	Ahmedabad	Gujarat	50000	2012,40.533586,-74.236189,"1202/ 1302 12th Floor, Krypton Tower, Prabhadevi, New York, NY 10309, United States of America",,Staten Island,1202/ 1302,"12th Floor, Krypton Tower, Prabhadevi",,10309,Charleston,New York,Richmond County,New York,,NY,United States,us,0.0643000177999288,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gujarat Reclaim Rubber Produ P	At Ankleshwar Dist Bharuch	Bharuch	Gujarat	50000	2012,36.238016,-85.162758,"Pat Pat Lane, Overton County, TN, United States of America",,,,Pat Pat Lane,,,,,Overton County,Tennessee,,TN,United States,us,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"CPI	Gujarat State Council, CPI	""Centre 2nd Floor, Opp. GPO, Salapose ",31.299869,-86.27792,"Frank Jackson State Park Campground, Opp, AL, United States of America",Frank Jackson State Park Campground,,,,,,,Opp,Covington County,Alabama,,AL,United States,us,0.024713839750260133,1,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"Road, Ahmedabad-380 001""	Ahmedabad	Gujarat	25000	2013",23.283942,72.440094,"chhatral highway, Ahmedabad- palanpur, Chhatral INA - 382729, GJ, India",,,chhatral highway,Ahmedabad- palanpur,,382729,,Chhatral INA,Gandhinagar,Gujarat,,GJ,India,in,0.16666666666666666,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gujrat Construation	Jamnagar 	Jamnagar		25000	2013,,,,,,,,,,,,,,,,,,,,,,
BJP	Gujrat Metal Cast Indutries Ltd.	Rajkot	Rajkot		150000	2012,35.123554,-90.075123,"The Metal Museum, 374 Metal Museum Drive, Memphis, TN 38106, United States of America",The Metal Museum,,374,Metal Museum Drive,,38106,,Memphis,Shelby County,Tennessee,,TN,United States,us,0.0004986562526245072,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gujrat Travels	Kesant. Bhavnagar 	Bhavnagar	Gujurat	51000	2005,,,,,,,,,,,,,,,,,,,,,,
"INC	""Gulab Singh.",41.476476,-83.151748,"Leannies's Webs Inc. Inc, Salem, OH, United States of America",,Salem Township,,Leannies's Webs Inc. Inc,,,,Salem,Ottawa County,Ohio,,OH,United States,us,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"""	Post-Banjaribad, Dist-Koria.			50000	2008",,,,,,,,,,,,,,,,,,,,,,
INC	Gulam Nabi Azad	5-South Aveneu Lane New Delhi 	New Delhi		54000	2011,40.717988,-74.148536,"88 Aveneu K, Newark, NJ 07105, United States of America",,Newark,88,Aveneu K,,07105,,Newark,Essex County,New Jersey,,NJ,United States,us,0.2572916666666667,,© OpenAddresses contributors,BSD-3-Clause License,
INC	Gulam Nabi Azad	5 South Avenue Lane New Delhi-110011	New Delhi		29000	2004,41.571254,-73.407918,"5 South Avenue, New Milford, CT 06776, United States of America",,New Milford,5,South Avenue,,06776,,New Milford,Litchfield County,Connecticut,,CT,United States,us,0,0.95,© OpenAddresses contributors,BSD-3-Clause License,
"INC	Gulappa S. Shatgar	No. Mig-15, Jalanagar Bagalkot Road Bijapur			25000	2003",48.426363,16.249819,"2003 Leitzersdorf, Austria",2003,,,,,2003,,Leitzersdorf,Korneuburg,Lower Austria,,,Austria,at,0,,,,https://www.whosonfirst.org/docs/licenses/
"BJP	Guljari Lal Nanda	458,Madanpur Khadar New Delhi -76	New Delhi		100000	2011",,,,,,,,,,,,,,,,,,,,,,
"BJP	Gulshan Bhatia	Ward No-96 N, Ranjeet Ngr, 40/17, East Patel Nagar, New Delhi	New Delhi		100000	2010",28.641926,77.22175,"New Delhi, Minto Road Area, Delhi, South West, India",New Delhi,,,,,,Minto Road Area,Delhi,South West,Delhi,,DL,India,in,1,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Gulshan Prints Pvt Ltd	254-255/B, GIDC Pandsara Surat	Surat		70000	2012",,,,,,,,,,,,,,,,,,,,,,
"BJP	Gulshan Thukral	GH-14/941, Paschim Vihar Delhi	New Delhi		100000	2010",,,,,,,,,,,,,,,,,,,,,,
BJP	Gulzari Lal Nanda	458 Madan Pur Khadar New Delhi	New Delhi		50000	2013,40.620086,-74.153869,"21 Madan Court, New York, NY 10303, United States of America",,Staten Island,21,Madan Court,,10303,Graniteville,New York,Richmond County,New York,0.15041666666666664,NY,United States,us,0.10679693206720234,0.15833333333333333,© OpenAddresses contributors,BSD-3-Clause License,
"BJP	Gunajit Adhikari	Bhangagarh, Guwahati-781005, Assam	Guwahati	Assam	50000	2014",34.084147,-94.66995,"50000, McCurtain County, OK, United States of America",,,,50000,,,,,McCurtain County,Oklahoma,,OK,United States,us,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
CPI(M)	Gunturu Veera	Ranghava Rao F-38 Madhuranagar Hyderabad 	Hyderabad	Telangana	20000	2011,,,,,,,,,,,,,,,,,,,,,,
"BJP	GUPTA COAL INDIA LTD	Shriram Towers 7th Floor S V Patel Marg Kingsway, Nagpur-440001	Nagpur		500000	2009",26.85255,75.768201,"Patel Marg, Ward 59, Jaipur -, RJ, India",,Zone 1,,Patel Marg,,,Ward 59,Jaipur,Jaipur,Rajasthan,,RJ,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
BJP	Gupta Coal India Ltd	Shree Ram Tower. Sadar. Nagpur - 440001	Nagpur		500000	2005,,,,,,,,,,,,,,,,,,,,,,
BJP	Gupta Construction	At Ankleshwar Dist Bharuch	Bharuch	Gujarat	25000	2012,,,,,,,,,,,,,,,,,,,,,,
"BJP	Gupta Dying & Printing Mills	413, G.I.D.C. Pandesara Surat	Surat		50000	2012",33.774784,-84.40556,"Printing and Copying Services, Atlanta, GA, United States of America",,,,Printing and Copying Services,,,,Atlanta,Fulton County,Georgia,,GA,United States,us,0.0001561472715318858,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Gurcharan Kumar	WZ-456 ST. NO-25, Shiv Nagar, Jail Road, Delhi-58	New Delhi		100000	2010",28.625132,77.101316,"Jail Road (or Shaheed Bhagat Singh Marg), Hari Nagar, Delhi -, DL, India",,,,Jail Road (or Shaheed Bhagat Singh Marg),,,Hari Nagar,Delhi,South West,Delhi,,DL,India,in,0,,© OpenStreetMap contributors,Open Database License,https://www.openstreetmap.org/copyright
"BJP	Gurjang Singh Jagaa Manimajra,	Chandigarh	Chandigarh	Punjab	100000	2011",,,,,,,,,,,,,,,,,,,,,,
BJP	Guru Charan Singh	7 Gurunanak Colony Vidisha M.P.			100000	2011,,,,,,,,,,,,,,,,,,,,,,
